user_id,R_最近购买间隔,F_购买频次,M_消费金额,记录数,客单价,平均件单价,占比_蔬果,占比_休闲,占比_粮油,占比_日配,占比_洗化,占比_酒饮,占比_肉禽,占比_熟食,类目熵,小类购买数,生鲜占比,促销金额占比,促销频次占比,促销敏感度,低价带占比,高价带占比,偏好价格分位,退货率,复购紧迫度均值,平均复购周期
0000,5,2,24.65,5,12.325,1.4377,0.3671,0.0,0.5517,0.0,0.0,0.0,0.0,0.0811,1.1518,4,0.4483,0.0,0.0,0.0,1.0,0.0,0.2787,0.0,0.0,26.0
0001,74,2,42.6,7,21.3,3.9198,0.0845,0.3944,0.2042,0.0,0.0,0.0,0.0,0.0,1.6888,7,0.0845,0.3944,0.2857,0.3445,0.1251,0.7411,0.6494,0.0,0.0,26.0
0002,81,3,78.7,22,26.2333,5.0252,0.5333,0.2924,0.0,0.155,0.0,0.0,0.0,0.0193,2.5104,16,0.5526,0.4042,0.2273,0.323,0.522,0.3498,0.434,0.0,4.3009,25.3333
0003,6,18,546.51,52,30.3617,11.1294,0.1452,0.1058,0.122,0.0631,0.0,0.4757,0.0504,0.0234,2.7048,34,0.2334,0.086,0.1346,0.1083,0.3477,0.2721,0.5625,0.0,3.0158,24.75
0004,17,3,182.84,18,60.9467,10.8061,0.4577,0.0,0.0,0.1979,0.187,0.0481,0.1092,0.0,2.3545,15,0.5669,0.0159,0.0556,0.0341,0.1642,0.5848,0.6867,0.0,0.1667,102.0
0005,26,5,139.44,15,27.888,10.2893,0.006,0.0,0.388,0.1951,0.3148,0.0,0.0961,0.0,2.0381,11,0.1021,0.1535,0.1333,0.1442,0.043,0.3417,0.6189,0.0,0.3671,79.0
0006,1,6,150.3,21,25.05,5.5693,0.2688,0.0,0.2861,0.0979,0.0,0.0,0.1657,0.0,2.3368,15,0.5395,0.2495,0.0952,0.1787,0.3188,0.5145,0.5533,0.0,0.1854,65.6667
0007,1,5,251.93,25,50.386,14.7881,0.0977,0.0902,0.2477,0.0393,0.0,0.0,0.0412,0.0,2.293,18,0.1822,0.3541,0.16,0.265,0.1335,0.7082,0.6934,0.0,0.0169,59.0
0008,15,9,377.06,28,41.8956,15.3589,0.1544,0.0411,0.0088,0.5097,0.0737,0.0138,0.1879,0.0106,2.6598,22,0.3529,0.3987,0.25,0.3304,0.0527,0.7484,0.7482,0.0,0.8607,40.875
0009,107,2,80.4,9,40.2,8.9333,0.0,0.6493,0.0,0.1468,0.148,0.056,0.0,0.0,1.53,6,0.0,0.0,0.0,0.0,0.0,0.4552,0.6805,0.0,0.0,26.0
0010,50,4,337.66,27,84.415,12.2683,0.0551,0.09,0.5298,0.1473,0.0853,0.0,0.0,0.0,2.1026,18,0.0551,0.0382,0.0741,0.0547,0.1221,0.5565,0.6862,0.0,1.4987,36.875
0011,119,1,50.3,9,50.3,10.5495,0.4481,0.0,0.0,0.0,0.0,0.0,0.0,0.5519,0.9822,4,0.4481,0.0,0.0,0.0,0.308,0.6151,0.5473,0.0,0.0,26.0
0012,0,45,1838.19,179,40.8487,10.835,0.3896,0.0404,0.1187,0.0259,0.0141,0.0626,0.1878,0.0555,3.4459,59,0.6393,0.114,0.095,0.1053,0.2023,0.5343,0.6756,0.0,6.1024,20.8496
0013,4,18,642.86,68,35.7144,9.151,0.2201,0.1261,0.1027,0.1595,0.1867,0.0712,0.0123,0.0307,3.5422,47,0.2324,0.0942,0.1176,0.1049,0.1368,0.642,0.6735,0.0,1.995,42.1042
0014,90,6,298.22,16,49.7033,6.9226,0.6976,0.0107,0.0503,0.2414,0.0,0.0,0.0,0.0,1.3879,10,0.6976,0.0,0.0,0.0,0.2792,0.588,0.7153,0.0,14.7135,7.3333
0015,95,3,313.88,17,104.6267,12.0095,0.0038,0.1268,0.2495,0.0224,0.144,0.0,0.04,0.0001,2.2643,14,0.0437,0.0411,0.0588,0.0492,0.181,0.5485,0.6373,0.0,0.0,26.0
0016,71,5,386.09,19,77.218,19.8361,0.0116,0.3447,0.0,0.0451,0.0982,0.3999,0.0,0.0811,2.2615,17,0.0116,0.0451,0.1053,0.0727,0.0272,0.789,0.807,0.0,0.0,26.0
0017,1,15,623.24,95,41.5493,5.8035,0.0937,0.4063,0.106,0.2981,0.073,0.0128,0.0101,0.0,3.2893,44,0.1038,0.4316,0.4737,0.4509,0.3409,0.4058,0.532,0.0104,5.8666,26.0513
0018,119,1,32.44,4,32.44,9.4965,0.2109,0.0,0.7891,0.0,0.0,0.0,0.0,0.0,1.0028,3,0.2109,0.5456,0.25,0.4099,0.2109,0.5456,0.6928,0.0,0.0,26.0
0019,0,4,265.96,25,66.49,5.6839,0.2136,0.157,0.1504,0.3944,0.0846,0.0,0.0,0.0,2.7825,23,0.2136,0.4217,0.24,0.3383,0.0773,0.2908,0.5491,0.0,0.0,103.0
0020,6,14,395.59,59,28.2564,9.3624,0.2549,0.0,0.0662,0.1285,0.0584,0.0,0.1159,0.0735,3.0798,37,0.4232,0.3458,0.1525,0.2571,0.179,0.5147,0.671,0.0,0.9943,39.151
0021,4,5,247.4,38,49.48,8.7186,0.085,0.0808,0.0521,0.1086,0.1395,0.08,0.0,0.0,2.5988,26,0.1456,0.0178,0.0263,0.0217,0.6814,0.2278,0.3891,0.0,0.0774,52.6667
0022,119,1,93.79,7,93.79,19.8876,0.0,0.3778,0.0616,0.0,0.2495,0.0,0.0,0.0,1.6658,7,0.3111,0.2928,0.4286,0.3551,0.0,0.6447,0.7459,0.0,0.0,26.0
0023,119,1,16.2,2,16.2,8.1,0.0,0.3272,0.6728,0.0,0.0,0.0,0.0,0.0,0.6321,2,0.0,0.6728,0.5,0.5935,0.3272,0.0,0.4263,0.0,0.0,26.0
0024,6,37,853.81,159,23.0759,5.9572,0.4191,0.2474,0.0384,0.1624,0.0,0.019,0.0,0.0309,3.3219,54,0.5189,0.1182,0.1006,0.1101,0.2732,0.5104,0.6142,0.0,3.4033,22.7953
0025,119,1,38.51,2,38.51,19.1974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3663,2,0.0,0.0,0.0,0.0,0.0,0.8803,0.8467,0.0,0.0,26.0
0026,67,5,244.09,21,48.818,11.9593,0.0838,0.2684,0.1127,0.1401,0.0893,0.0,0.0,0.0702,2.738,20,0.1051,0.3012,0.1905,0.2504,0.2688,0.4179,0.603,0.0,7.6923,13.0
