item_id,cat_l1_name,cat_l2_name,cat_l3_name,cat_l3_code,item_type,unit,spec,销售金额,销售数量,销售笔数,平均单价,购买人数,复购率,复购率_平滑,促销占比,price_rank,price_band,综合热度,热度排名
DW-1001010165,肉禽,猪肉,鲜猪肉,100101,生鲜,盒,4千克,360.0,1.0,1,360.0,1,0.0,0.0942,0.0,1.0,高价带,0.3178,1073
DW-1001010191,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,1053.34,35.348,76,29.8,53,0.1887,0.1752,0.0,0.8125,高价带,0.5854,62
DW-1001010192,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,154.43,5.182,9,29.8,8,0.125,0.1131,0.0,0.625,中价带,0.3607,618
DW-1001010194,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,2141.09,71.85,204,29.8,158,0.1709,0.1669,0.0,0.8125,高价带,0.6479,29
DW-1001010195,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,987.23,35.512,90,27.8,58,0.1724,0.1623,0.0,0.375,中价带,0.5749,68
DW-1001010196,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,1870.44,67.282,99,27.8,82,0.1463,0.1417,0.0,0.5,中价带,0.595,56
DW-1001010204,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,1608.49,62.344,49,25.8,34,0.2647,0.2281,0.0,0.25,低价带,0.6399,35
DW-1001010205,肉禽,猪肉,鲜猪肉,100101,生鲜,千克,散称,2123.46,107.248,137,19.8,107,0.2056,0.1969,0.0,0.125,低价带,0.6759,21
DW-1001020100,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,187.96,4.086,4,46.0,4,0.0,0.074,0.0,0.8333,高价带,0.3152,1110
DW-1001020102,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,7.9,0.316,1,25.0,1,0.0,0.0942,0.0,0.3333,低价带,0.1718,5394
DW-1001020104,肉禽,猪肉,猪下水,100102,生鲜,千克,散称,357.62,11.536,12,31.0,10,0.2,0.1518,0.0,0.5,中价带,0.4427,237
