user_id,rank,item_id,cat_l1,cat_l3,score,主要来源,reason
0000,1,DW-1201040026,蔬果,花果,0.7401,图推荐,与你购买行为相似的顾客也常购买该商品
0000,2,DW-1201040010,蔬果,花果,0.5623,价格匹配,该商品符合你的常购价格带
0000,3,DW-1201040035,蔬果,花果,0.4542,类目偏好,你长期偏好「花果」类目
0000,4,DW-1201040049,蔬果,花果,0.3693,价格匹配,该商品符合你的常购价格带
0000,5,DW-1201040004,蔬果,花果,0.4411,价格匹配,该商品符合你的常购价格带
0000,6,DW-1201040022,蔬果,花果,0.4311,价格匹配,该商品符合你的常购价格带
0000,7,DW-1201020029,蔬果,根茎,0.5584,价格匹配,该商品符合你的常购价格带
0000,8,DW-1201040027,蔬果,花果,0.6674,类目偏好,你长期偏好「花果」类目
0000,9,DW-1201090311,蔬果,其它蔬菜,0.4882,价格匹配,该商品符合你的常购价格带
0000,10,DW-1201040036,蔬果,花果,0.4072,价格匹配,该商品符合你的常购价格带
0003,1,DW-1203020172,蔬果,苹果类,0.5884,图推荐,与你购买行为相似的顾客也常购买该商品
0003,2,DW-2006010003,粮油,散称白米,0.5877,图推荐,与你购买行为相似的顾客也常购买该商品
0003,3,DW-1001010194,肉禽,鲜猪肉,0.6127,图推荐,与你购买行为相似的顾客也常购买该商品
0003,4,DW-1001010205,肉禽,鲜猪肉,0.5589,图推荐,与你购买行为相似的顾客也常购买该商品
0003,5,DW-1308010191,熟食,现制蒸类,0.54,图推荐,与你购买行为相似的顾客也常购买该商品
0003,6,DW-1201040035,蔬果,花果,0.5366,图推荐,与你购买行为相似的顾客也常购买该商品
0003,7,DW-1201040026,蔬果,花果,0.5393,图推荐,与你购买行为相似的顾客也常购买该商品
0003,8,DW-2316010005,酒饮,国产省内香烟,0.4654,图推荐,与你购买行为相似的顾客也常购买该商品
0003,9,DW-2007060065,粮油,红枣,0.4706,复购周期,你可能接近「红枣」的复购周期
0003,10,DW-1201060010,蔬果,菌菇类,0.4641,图推荐,与你购买行为相似的顾客也常购买该商品
0004,1,DW-1521010005,日配,新鲜蛋品,0.6345,图推荐,与你购买行为相似的顾客也常购买该商品
0004,2,DW-1201020029,蔬果,根茎,0.5472,价格匹配,该商品符合你的常购价格带
0004,3,DW-1201020013,蔬果,根茎,0.5114,价格匹配,该商品符合你的常购价格带
0004,4,DW-1201020017,蔬果,根茎,0.2931,价格匹配,该商品符合你的常购价格带
0004,5,DW-1201020721,蔬果,根茎,0.4049,价格匹配,该商品符合你的常购价格带
0004,6,DW-1201010019,蔬果,叶菜,0.3997,价格匹配,该商品符合你的常购价格带
0004,7,DW-1201010023,蔬果,叶菜,0.4392,价格匹配,该商品符合你的常购价格带
0004,8,DW-1201020044,蔬果,根茎,0.3954,价格匹配,该商品符合你的常购价格带
0004,9,DW-1201010004,蔬果,叶菜,0.3451,价格匹配,该商品符合你的常购价格带
0004,10,DW-1201010020,蔬果,叶菜,0.3635,价格匹配,该商品符合你的常购价格带
0005,1,DW-1201020029,蔬果,根茎,0.5965,价格匹配,该商品符合你的常购价格带
0005,2,DW-1517010003,日配,猪肉火腿肠,0.5021,图推荐,与你购买行为相似的顾客也常购买该商品
0005,3,DW-1201040035,蔬果,花果,0.4393,价格匹配,该商品符合你的常购价格带
0005,4,DW-1201020013,蔬果,根茎,0.4683,价格匹配,该商品符合你的常购价格带
0005,5,DW-1201020045,蔬果,根茎,0.4239,价格匹配,该商品符合你的常购价格带
0005,6,DW-1201020721,蔬果,根茎,0.4358,价格匹配,该商品符合你的常购价格带
0005,7,DW-1201020361,蔬果,根茎,0.5496,关联规则,与你近期购买商品强关联（根茎）
0005,8,DW-1201040010,蔬果,花果,0.409,价格匹配,该商品符合你的常购价格带
0005,9,DW-1201020042,蔬果,根茎,0.5723,价格匹配,该商品符合你的常购价格带
0005,10,DW-1201040049,蔬果,花果,0.2993,价格匹配,该商品符合你的常购价格带
0006,1,DW-1201040035,蔬果,花果,0.6394,关联规则,与你近期购买商品强关联（花果）
0006,2,DW-1001040125,肉禽,猪骨,0.5977,图推荐,与你购买行为相似的顾客也常购买该商品
0006,3,DW-1201040010,蔬果,花果,0.4552,价格匹配,该商品符合你的常购价格带
0006,4,DW-1201020029,蔬果,根茎,0.5122,价格匹配,该商品符合你的常购价格带
0006,5,DW-1201040049,蔬果,花果,0.4805,价格匹配,该商品符合你的常购价格带
