层级,前项,后项,支持度,置信度,提升度
小类级,袋装薯片,其他膨化点心,0.013,0.2755,11.622
小类级,其他膨化点心,袋装薯片,0.013,0.5472,11.622
小类级,花果+鲜猪肉,根茎,0.0206,0.6479,3.01
小类级,根茎+鲜调味,叶菜,0.0161,0.5275,2.86
小类级,叶菜+鲜猪肉,根茎,0.0149,0.6129,2.847
小类级,根茎+菌菇类,叶菜,0.0199,0.5205,2.822
小类级,根茎+菌菇类,花果,0.0239,0.6257,2.806
小类级,花果+鲜调味,根茎,0.0179,0.6038,2.805
小类级,叶菜+鲜调味,根茎,0.0161,0.5975,2.776
小类级,花果+菌菇类,根茎,0.0239,0.5944,2.761
小类级,花果+豆腐,叶菜,0.0113,0.5075,2.752
小类级,花果+鲜调味,叶菜,0.015,0.5057,2.742
小类级,根茎+豆腐,叶菜,0.0108,0.5052,2.74
小类级,根茎+鲜调味,花果,0.0179,0.5861,2.628
小类级,根茎+鲜猪肉,花果,0.0206,0.5841,2.619
小类级,花果+菌菇类,叶菜,0.0192,0.4778,2.591
小类级,叶菜+花果,根茎,0.0456,0.5566,2.586
小类级,叶菜+菌菇类,根茎,0.0199,0.5545,2.576
小类级,豆干豆皮,叶菜,0.0132,0.4701,2.549
小类级,新鲜蛋品+根茎,叶菜,0.0142,0.4652,2.523
小类级,菌菇类,叶菜,0.0359,0.4619,2.505
小类级,叶菜+新鲜蛋品,根茎,0.0142,0.5381,2.5
小类级,叶菜+鲜调味,花果,0.015,0.556,2.493
小类级,新鲜蛋品+根茎,花果,0.0169,0.5531,2.48
小类级,叶菜+鲜猪肉,花果,0.0131,0.5392,2.418
小类级,叶菜+新鲜蛋品,花果,0.0142,0.5381,2.413
小类级,叶菜+根茎,花果,0.0456,0.5361,2.404
小类级,叶菜+菌菇类,花果,0.0192,0.5358,2.403
小类级,根茎+花果,叶菜,0.0456,0.4406,2.389
小类级,鲜猪肉,根茎,0.0352,0.5114,2.375
小类级,新鲜蛋品+花果,根茎,0.0169,0.5067,2.354
小类级,根茎+豆腐,花果,0.0112,0.5208,2.336
小类级,花果+豆腐,根茎,0.0112,0.5025,2.334
小类级,其它水果+花果,根茎,0.0115,0.5024,2.334
小类级,菌菇类,花果,0.0403,0.518,2.323
小类级,新鲜蛋品+花果,叶菜,0.0142,0.4262,2.311
小类级,根茎+鲜猪肉,叶菜,0.0149,0.4222,2.29
小类级,菌菇类,根茎,0.0382,0.4921,2.286
小类级,鲜调味,叶菜,0.027,0.4199,2.277
小类级,叶菜+豆腐,花果,0.0113,0.5025,2.253
小类级,豆腐,叶菜,0.0225,0.4153,2.252
小类级,叶菜+豆腐,根茎,0.0108,0.4826,2.242
小类级,花果+鲜猪肉,叶菜,0.0131,0.412,2.234
小类级,其它水果+根茎,花果,0.0115,0.4976,2.231
小类级,鲜调味,根茎,0.0305,0.4756,2.209
小类级,根茎,花果,0.1036,0.481,2.157
小类级,花果,根茎,0.1036,0.4644,2.157
小类级,叶菜,根茎,0.0851,0.4615,2.144
小类级,根茎,叶菜,0.0851,0.3953,2.144
小类级,豆干豆皮,根茎,0.0129,0.4582,2.128
小类级,芽菜,叶菜,0.0117,0.3875,2.101
小类级,鲜调味,花果,0.0296,0.4617,2.07
小类级,鲜猪肉,花果,0.0318,0.461,2.068
小类级,豆干豆皮,花果,0.0126,0.4502,2.019
小类级,叶菜,花果,0.082,0.4445,1.993
小类级,花果,叶菜,0.082,0.3676,1.993
小类级,芽菜,根茎,0.013,0.428,1.988
小类级,鲜猪肉,叶菜,0.0243,0.3523,1.91
小类级,芽菜,花果,0.0127,0.4207,1.886
小类级,豆腐,花果,0.0223,0.4112,1.844
小类级,豆腐,根茎,0.0215,0.3967,1.843
小类级,现制蒸类,叶菜,0.0123,0.3374,1.83
小类级,现制蒸类,花果,0.0123,0.3374,1.513
小类级,现制蒸类,根茎,0.0115,0.316,1.468
小类级,新鲜蛋品,花果,0.0333,0.3264,1.464
小类级,梨类,根茎,0.0122,0.3097,1.438
小类级,新鲜蛋品,叶菜,0.0264,0.2585,1.402
小类级,新鲜蛋品,根茎,0.0305,0.299,1.389
小类级,其它水果,根茎,0.0231,0.2891,1.343
小类级,进口水果,根茎,0.0119,0.2812,1.306
小类级,其它水果,花果,0.0229,0.2863,1.284
小类级,梨类,花果,0.0112,0.2841,1.274
小类级,柑桔柚类,根茎,0.0107,0.2735,1.27
中类级,即食熟制品,膨化点心,0.0192,0.3517,3.912
中类级,即食熟制品,炒货,0.0158,0.2883,3.276
中类级,即食熟制品,饼干,0.0197,0.3599,3.149
中类级,饼干,膨化点心,0.0313,0.274,3.047
中类级,膨化点心,饼干,0.0313,0.3483,3.047
中类级,膨化点心,糕点,0.0309,0.3433,2.688
中类级,饼干,糕点,0.0386,0.3376,2.643
中类级,糕点,饼干,0.0386,0.3021,2.643
中类级,蜜饯,饼干,0.0155,0.2866,2.508
中类级,即食熟制品,糕点,0.0167,0.3047,2.386
中类级,加工豆类,蔬菜,0.0753,0.8207,1.859
中类级,猪肉,蔬菜,0.0708,0.7844,1.777
中类级,鸡产品,蔬菜,0.0172,0.7196,1.63
中类级,现制中式面点,蔬菜,0.0331,0.715,1.62
中类级,蛋类,蔬菜,0.0637,0.5969,1.352
中类级,南北干货,蔬菜,0.0202,0.5452,1.235
中类级,五谷杂粮,蔬菜,0.0315,0.5281,1.196
中类级,冷藏肉制品,蔬菜,0.0163,0.5087,1.152
中类级,水果,蔬菜,0.1251,0.5082,1.151
中类级,蔬菜,水果,0.1251,0.2835,1.151
