组合,项数,支持度,置信度,提升度,总效用,篮均效用,促销提升度,跨类目数,可触达篮数,组合价值得分,策略建议
叶菜+新鲜蛋品+花果,3,0.016,0.538,2.413,2347.91,18.49,3.111,2,127,0.651,跨品类联动·第二件折扣
新鲜蛋品+花果,2,0.038,0.553,2.48,4302.05,14.44,2.597,2,298,0.644,跨品类联动·第二件折扣
新鲜蛋品+根茎+花果,3,0.019,0.553,2.48,3221.58,21.33,2.801,2,151,0.64,跨品类联动·第二件折扣
叶菜+新鲜蛋品+根茎,3,0.016,0.465,2.523,2742.93,21.6,2.627,2,127,0.58,跨品类联动·第二件折扣
叶菜+新鲜蛋品,2,0.03,0.465,2.523,3272.94,13.87,2.278,2,236,0.536,跨品类联动·第二件折扣
新鲜蛋品+根茎,2,0.035,0.465,2.523,4612.9,16.9,2.099,2,273,0.514,跨品类联动·第二件折扣
根茎+花果,2,0.119,0.648,3.01,10051.79,10.86,1.0,1,926,0.511,联动陈列·常购组合
根茎+鲜猪肉,2,0.04,0.648,3.01,7056.84,22.4,1.0,2,315,0.458,跨品类联动·第二件折扣
花果+鲜猪肉,2,0.036,0.648,3.01,5848.54,20.59,1.0,2,284,0.45,跨品类联动·第二件折扣
叶菜+根茎,2,0.098,0.527,2.86,8024.98,10.55,1.0,1,761,0.449,联动陈列·常购组合
根茎+花果+鲜猪肉,3,0.024,0.648,3.01,5065.68,27.53,1.0,2,184,0.441,跨品类联动·第二件折扣
花果+菌菇类,2,0.046,0.626,2.806,3940.34,10.95,1.0,1,360,0.425,联动陈列·常购组合
叶菜+花果,2,0.094,0.507,2.752,5894.25,8.04,1.0,1,733,0.42,联动陈列·常购组合
叶菜+鲜猪肉,2,0.028,0.613,2.847,5026.97,23.17,1.0,2,217,0.419,跨品类联动·第二件折扣
根茎+花果+菌菇类,3,0.028,0.626,2.806,3736.4,17.46,1.0,1,214,0.415,联动陈列·常购组合
叶菜+根茎+鲜猪肉,3,0.017,0.613,2.847,4326.84,32.53,1.0,2,133,0.412,跨品类联动·第二件折扣
根茎+花果+鲜调味,3,0.02,0.604,2.805,2359.48,14.75,1.0,1,160,0.399,联动陈列·常购组合
叶菜+根茎+花果,3,0.052,0.557,2.586,6198.09,15.19,1.0,1,408,0.396,联动陈列·常购组合
根茎+菌菇类,2,0.044,0.52,2.822,4356.31,12.74,1.0,1,342,0.389,联动陈列·常购组合
根茎+鲜调味,2,0.035,0.527,2.86,2542.08,9.31,1.0,1,273,0.384,联动陈列·常购组合
叶菜+菌菇类,2,0.041,0.52,2.822,3186.94,9.93,1.0,1,321,0.383,联动陈列·常购组合
叶菜+根茎+菌菇类,3,0.023,0.52,2.822,3076.28,17.28,1.0,1,178,0.373,联动陈列·常购组合
叶菜+花果+鲜猪肉,3,0.015,0.539,2.418,3690.54,31.54,1.0,2,117,0.338,跨品类联动·第二件折扣
叶菜+花果+菌菇类,3,0.022,0.478,2.591,2716.43,15.79,1.0,1,172,0.33,联动陈列·常购组合
其它水果+根茎,2,0.027,0.502,2.334,4569.38,22.07,1.0,1,207,0.321,联动陈列·常购组合
其它水果+花果,2,0.026,0.502,2.334,3883.7,18.94,1.0,1,205,0.318,联动陈列·常购组合
其它水果+根茎+花果,3,0.013,0.502,2.334,2650.64,25.73,1.0,1,103,0.307,联动陈列·常购组合
其它水果+叶菜,2,0.021,0.3,1.2,3111.16,18.63,1.0,1,167,0.055,联动陈列·常购组合
根茎+进口水果,2,0.014,0.281,1.306,2659.88,25.09,1.0,1,106,0.036,联动陈列·常购组合
鲜猪肉+鲜调味,2,0.015,0.3,1.2,2528.28,21.99,1.0,2,115,0.035,跨品类联动·第二件折扣
菌菇类+鲜猪肉,2,0.014,0.3,1.2,2629.36,24.35,1.0,2,108,0.033,跨品类联动·第二件折扣
根茎+苹果类,2,0.013,0.3,1.2,2447.82,24.98,1.0,1,98,0.03,联动陈列·常购组合
花果+进口水果,2,0.012,0.3,1.2,2345.0,24.68,1.0,1,95,0.029,联动陈列·常购组合
花果+苹果类,2,0.011,0.3,1.2,2533.32,28.79,1.0,1,88,0.028,联动陈列·常购组合
猪骨+鲜猪肉,2,0.005,0.3,1.2,2782.53,67.87,1.0,1,41,0.025,联动陈列·常购组合
柑桔柚类+苹果类,2,0.009,0.3,1.2,2442.25,33.92,1.0,1,72,0.024,联动陈列·常购组合
苹果类+蕉类,2,0.009,0.3,1.2,2370.78,32.93,1.0,1,72,0.024,联动陈列·常购组合
其它水果+苹果类,2,0.009,0.3,1.2,2409.65,35.44,1.0,1,68,0.023,联动陈列·常购组合
苹果类+进口水果,2,0.007,0.3,1.2,2539.11,46.17,1.0,1,55,0.022,联动陈列·常购组合
猪骨+花果,2,0.007,0.3,1.2,2419.55,43.99,1.0,2,55,0.022,跨品类联动·第二件折扣
