大类,销售贡献,购买人数,复购率,促销依赖度,增长率,人均金额,类目类型,经营策略
日配,0.1803,1556,0.605,0.46,0.037,52.83,促销依赖类目,控促销成本·提毛利
蔬果,0.1788,1680,0.807,0.0,-0.051,48.5,核心稳定类目,保供应·会员权益
休闲,0.1632,1582,0.743,0.291,-0.155,47.03,核心稳定类目,保供应·会员权益
粮油,0.1343,1389,0.688,0.25,-0.371,44.07,核心稳定类目,保供应·会员权益
酒饮,0.121,763,0.569,0.224,0.539,72.27,核心稳定类目,保供应·会员权益
洗化,0.0835,914,0.644,0.386,-0.149,41.64,促销依赖类目,控促销成本·提毛利
肉禽,0.0553,568,0.456,0.0,-0.396,44.38,核心稳定类目,保供应·会员权益
冲调,0.0308,326,0.436,0.302,-0.274,43.07,促销依赖类目,控促销成本·提毛利
家居,0.0142,327,0.355,0.12,-0.039,19.75,长尾弱势类目,打包清理·降库存
熟食,0.013,437,0.442,0.0,-0.027,13.6,长尾弱势类目,打包清理·降库存
针织,0.0127,182,0.335,0.318,-0.201,31.92,促销依赖类目,控促销成本·提毛利
水产,0.0063,140,0.229,0.0,2.25,20.65,增长潜力类目,增曝光·交叉推荐
文体,0.0043,143,0.406,0.08,-0.543,13.85,长尾弱势类目,打包清理·降库存
家电,0.0019,43,0.14,0.053,-0.931,19.86,长尾弱势类目,打包清理·降库存
烘焙,0.0002,17,0.059,0.0,0.0,6.52,长尾弱势类目,打包清理·降库存
