user_id,P_促销敏感型,P_流失预警型,P_高价值稳定型,P_促销敏感型2,P_高价值稳定型2,P_生鲜高频型,P_类目集中型,硬标签,语义群体
0000,0.4814,0.5185,0.0,0.0,0.0,0.0,1e-04,1,流失预警型
0001,0.0105,0.0032,0.0,0.7814,0.0094,0.0,0.1955,3,促销敏感型2
0002,0.4645,0.227,0.1657,0.0434,0.0649,0.0034,0.0312,0,促销敏感型
0003,0.0011,0.0,0.9499,0.0002,0.0488,0.0,0.0,2,高价值稳定型
0004,0.0042,0.0153,0.1506,0.0245,0.6317,0.1715,0.0021,4,高价值稳定型2
0005,0.2958,0.16,0.3436,0.0528,0.1437,0.0,0.0043,2,高价值稳定型
0006,0.0069,0.0019,0.7679,0.0038,0.2084,0.0,0.0111,2,高价值稳定型
0007,0.0098,0.0074,0.3707,0.0085,0.5906,0.0,0.013,4,高价值稳定型2
0008,0.0015,0.0083,0.1625,0.0046,0.8221,0.0,0.001,4,高价值稳定型2
0009,0.0012,0.0003,0.0,0.3624,0.0616,0.0,0.5745,6,类目集中型
0010,0.311,0.2797,0.4087,0.0007,0.0,0.0,0.0,2,高价值稳定型
0011,0.0265,0.0349,0.0,0.2574,0.0018,0.6793,0.0,5,生鲜高频型
0012,0.0026,0.0,0.9974,0.0,0.0,0.0,0.0,2,高价值稳定型
0013,0.0003,0.0,0.9706,1e-04,0.0291,0.0,0.0,2,高价值稳定型
0014,0.0108,0.0308,0.9576,0.0007,0.0,0.0,1e-04,2,高价值稳定型
0015,0.0944,0.1027,0.1355,0.092,0.5752,1e-04,1e-04,4,高价值稳定型2
0016,0.001,0.0028,0.0105,0.0131,0.9674,0.0,0.0052,4,高价值稳定型2
0017,0.0011,0.0,0.911,0.0005,0.0873,0.0,0.0,2,高价值稳定型
0018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0019,0.0006,0.0022,0.09,0.0054,0.9014,0.0,0.0005,4,高价值稳定型2
0020,1e-04,0.0,0.8118,0.0003,0.1872,0.0,0.0006,2,高价值稳定型
0021,0.0042,0.0022,0.0112,0.0105,0.9672,0.0,0.0047,4,高价值稳定型2
0022,0.0162,0.0262,0.0,0.5006,0.4562,0.0,0.0008,3,促销敏感型2
0023,0.0007,0.9993,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0024,0.0,0.0,0.9801,0.0,0.0199,0.0,0.0,2,高价值稳定型
0025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0026,0.0511,0.0159,0.9308,0.0008,0.0013,0.0,1e-04,2,高价值稳定型
0027,0.0814,0.0155,0.0,0.5408,0.3582,0.0,0.0041,3,促销敏感型2
0028,0.0,0.0003,0.0,0.9997,0.0,0.0,0.0,3,促销敏感型2
0029,0.86,0.0002,0.0,0.1298,0.0,0.0,0.0101,0,促销敏感型
0030,0.0008,0.0005,0.0,0.8685,0.0023,0.0,0.1278,3,促销敏感型2
0031,1e-04,0.0,0.872,1e-04,0.1276,0.0,1e-04,2,高价值稳定型
0032,0.0015,0.0,0.9931,0.0,0.0054,0.0,0.0,2,高价值稳定型
0033,0.0241,0.0068,0.0206,0.0865,0.8594,0.0025,0.0,4,高价值稳定型2
0034,1e-04,0.0,0.9998,0.0,1e-04,0.0,0.0,2,高价值稳定型
0035,0.634,0.1983,0.0002,0.1666,0.0006,0.0004,0.0,0,促销敏感型
0036,0.1199,0.0392,0.0424,0.0862,0.6835,0.0,0.0289,4,高价值稳定型2
0037,0.0076,0.0013,0.9731,0.0003,0.0176,0.0,1e-04,2,高价值稳定型
0038,0.0111,1e-04,0.9885,1e-04,0.0003,0.0,0.0,2,高价值稳定型
0039,1e-04,0.0,0.9619,0.0,0.038,0.0,0.0,2,高价值稳定型
0040,0.0113,0.0081,0.0051,0.0884,0.8871,0.0,0.0,4,高价值稳定型2
0041,0.0074,0.0586,0.9338,1e-04,0.0,0.0,0.0,2,高价值稳定型
0042,0.002,0.0029,0.0274,0.0148,0.9389,0.0141,0.0,4,高价值稳定型2
0043,0.0007,0.0022,0.0917,0.0048,0.899,0.0,0.0017,4,高价值稳定型2
0044,0.0121,0.006,0.922,0.0023,0.0543,0.0,0.0033,2,高价值稳定型
0045,0.0047,0.0374,0.0,0.3985,0.0,0.5593,0.0002,5,生鲜高频型
0046,0.0003,0.0,0.8655,0.0007,0.1329,0.0,0.0007,2,高价值稳定型
0047,1e-04,0.0,0.9295,1e-04,0.0703,0.0,0.0,2,高价值稳定型
0048,0.0051,0.0007,0.0,0.0169,0.0,0.942,0.0353,5,生鲜高频型
0049,0.0256,0.0008,0.9727,1e-04,0.0008,0.0,0.0,2,高价值稳定型
0050,0.0002,0.0003,1e-04,0.0263,0.9731,0.0,0.0,4,高价值稳定型2
0051,1e-04,0.0,0.9994,0.0,0.0005,0.0,0.0,2,高价值稳定型
0052,0.0005,0.0,0.9995,0.0,0.0,0.0,0.0,2,高价值稳定型
0053,0.0016,0.9637,0.0,0.0116,0.0,0.0231,0.0,1,流失预警型
0054,0.0164,0.2508,0.0,0.2344,0.0,0.4976,0.0008,5,生鲜高频型
0055,0.0043,0.0003,0.9025,0.0013,0.0903,0.0,0.0013,2,高价值稳定型
0056,0.0211,0.0002,0.9707,0.0007,0.0073,0.0,0.0,2,高价值稳定型
0057,0.0121,0.0025,0.9056,0.0014,0.0768,0.0,0.0017,2,高价值稳定型
0058,0.0005,0.0003,0.0366,0.0034,0.9468,0.0,0.0123,4,高价值稳定型2
0059,0.1902,0.5193,0.0,0.1263,0.0,0.1619,0.0023,1,流失预警型
0060,0.0096,0.0021,0.5566,0.0041,0.4217,0.0,0.0059,2,高价值稳定型
0061,0.0002,0.0,0.9799,0.0,0.0198,0.0,0.0,2,高价值稳定型
0062,0.0378,0.0,0.9622,0.0,0.0,0.0,0.0,2,高价值稳定型
0063,0.0089,0.0305,0.0,0.2404,1e-04,0.7201,1e-04,5,生鲜高频型
0064,0.0101,0.0003,0.9892,1e-04,0.0004,0.0,0.0,2,高价值稳定型
0065,0.6542,0.0513,1e-04,0.1756,0.1095,0.009,0.0003,0,促销敏感型
0066,0.0159,0.0093,0.0,0.5054,0.4695,0.0,0.0,3,促销敏感型2
0067,0.0014,0.0008,0.0003,0.0343,0.9633,0.0,0.0,4,高价值稳定型2
0068,0.0041,0.0002,0.9715,0.0004,0.0238,0.0,1e-04,2,高价值稳定型
0069,0.0165,0.0066,0.0,0.2334,0.6781,0.0,0.0655,4,高价值稳定型2
0070,0.004,0.0013,0.9231,0.0006,0.0706,0.0,0.0005,2,高价值稳定型
0071,0.0247,0.0105,0.9648,0.0,0.0,0.0,0.0,2,高价值稳定型
0072,0.2847,0.1289,0.5858,0.0006,0.0,0.0,0.0,2,高价值稳定型
0073,0.0005,1e-04,0.8873,0.0002,0.1119,0.0,1e-04,2,高价值稳定型
0074,0.02,0.0002,0.9754,1e-04,0.0042,0.0,0.0,2,高价值稳定型
0075,1e-04,0.0,0.9951,0.0,0.0048,0.0,0.0,2,高价值稳定型
0076,0.0112,1e-04,0.9885,0.0,0.0002,0.0,0.0,2,高价值稳定型
0077,0.0,0.0,0.0,0.0064,0.029,0.0,0.9646,6,类目集中型
0078,0.0014,0.0004,0.8876,0.0004,0.1098,0.0,0.0004,2,高价值稳定型
0079,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,流失预警型
0080,0.0553,0.8216,0.0004,0.1223,0.0004,0.0,0.0,1,流失预警型
0081,0.0008,0.0,0.9992,0.0,0.0,0.0,0.0,2,高价值稳定型
0082,0.8409,0.0043,0.0,0.1099,0.0447,0.0002,0.0,0,促销敏感型
0083,0.0022,0.0213,0.9765,0.0,0.0,0.0,0.0,2,高价值稳定型
0084,0.0041,0.0,0.9953,0.0,0.0006,0.0,0.0,2,高价值稳定型
0085,0.001,0.0002,0.0,0.05,0.9489,0.0,0.0,4,高价值稳定型2
0086,0.0009,0.002,0.0289,0.0091,0.959,0.0,0.0,4,高价值稳定型2
0087,0.0041,0.0,0.9957,0.0,1e-04,0.0,0.0,2,高价值稳定型
