user_id,segment_id,segment,归属置信度,宏观结构,是否边界用户,x_umap,y_umap
0000,1,流失预警型,0.5185,宏观群0,0,5.8573,5.9197
0001,3,促销敏感型2,0.7814,宏观群0,0,7.2862,8.4178
0002,0,促销敏感型,0.4645,宏观群0,0,2.3405,6.5502
0003,2,高价值稳定型,0.9499,宏观群0,0,0.6647,8.5423
0004,4,高价值稳定型2,0.6317,宏观群0,0,3.0773,6.0081
0005,2,高价值稳定型,0.3436,宏观群0,0,4.2375,7.2542
0006,2,高价值稳定型,0.7679,宏观群0,0,3.3954,6.6165
0007,4,高价值稳定型2,0.5906,宏观群0,0,2.4062,8.6435
0008,4,高价值稳定型2,0.8221,宏观群0,0,1.6182,8.6013
0009,6,类目集中型,0.5745,宏观群0,0,7.7289,7.8836
0010,2,高价值稳定型,0.4087,宏观群0,0,4.2749,7.111
0011,5,生鲜高频型,0.6793,宏观群1,0,5.8134,4.2053
0012,2,高价值稳定型,0.9974,宏观群0,0,0.0731,8.6103
0013,2,高价值稳定型,0.9706,宏观群0,0,0.2949,8.8397
0014,2,高价值稳定型,0.9576,宏观群0,0,1.8081,6.1476
0015,4,高价值稳定型2,0.5752,宏观群0,0,6.2882,7.5903
0016,4,高价值稳定型2,0.9674,宏观群0,0,5.4844,8.1257
0017,2,高价值稳定型,0.911,宏观群0,0,0.9206,9.1529
0018,1,流失预警型,1.0,宏观群0,0,6.0694,6.5426
0019,4,高价值稳定型2,0.9014,宏观群0,0,3.508,8.9426
0020,2,高价值稳定型,0.8118,宏观群0,0,0.7398,8.4968
0021,4,高价值稳定型2,0.9672,宏观群0,0,3.8017,7.9505
0022,3,促销敏感型2,0.5006,宏观群0,0,7.2488,8.8311
0023,1,流失预警型,0.9993,宏观群0,0,6.1186,6.5258
0024,2,高价值稳定型,0.9801,宏观群0,0,0.1325,8.6202
0025,1,流失预警型,1.0,宏观群0,0,6.2222,5.826
0026,2,高价值稳定型,0.9308,宏观群0,0,2.2266,7.6288
0027,3,促销敏感型2,0.5408,宏观群0,0,6.8522,7.4623
0028,3,促销敏感型2,0.9997,宏观群0,0,8.7559,6.0653
0029,0,促销敏感型,0.86,宏观群0,0,7.7657,7.1912
0030,3,促销敏感型2,0.8685,宏观群0,0,7.6347,8.706
0031,2,高价值稳定型,0.872,宏观群0,0,0.9812,9.1761
0032,2,高价值稳定型,0.9931,宏观群0,0,0.2835,8.8041
0033,4,高价值稳定型2,0.8594,宏观群0,0,6.6189,7.8414
0034,2,高价值稳定型,0.9998,宏观群0,0,0.4948,9.0911
0035,0,促销敏感型,0.634,宏观群0,0,6.44,7.0966
0036,4,高价值稳定型2,0.6835,宏观群0,0,4.2577,8.2137
0037,2,高价值稳定型,0.9731,宏观群0,0,1.3546,7.9609
0038,2,高价值稳定型,0.9885,宏观群0,0,0.7441,7.8599
0039,2,高价值稳定型,0.9619,宏观群0,0,0.2373,8.491
0040,4,高价值稳定型2,0.8871,宏观群0,0,6.3406,9.2138
0041,2,高价值稳定型,0.9338,宏观群0,0,1.8479,6.0352
0042,4,高价值稳定型2,0.9389,宏观群0,0,4.2412,8.3357
0043,4,高价值稳定型2,0.899,宏观群0,0,2.838,8.5083
0044,2,高价值稳定型,0.922,宏观群0,0,2.1418,6.8324
0045,5,生鲜高频型,0.5593,宏观群1,0,5.5988,3.9862
0046,2,高价值稳定型,0.8655,宏观群0,0,0.6393,7.5836
0047,2,高价值稳定型,0.9295,宏观群0,0,0.0681,8.6702
0048,5,生鲜高频型,0.942,宏观群1,0,5.5182,3.2611
0049,2,高价值稳定型,0.9727,宏观群0,0,1.2196,8.5334
0050,4,高价值稳定型2,0.9731,宏观群0,0,4.6963,8.1733
0051,2,高价值稳定型,0.9994,宏观群0,0,0.0973,8.6559
0052,2,高价值稳定型,0.9995,宏观群0,0,0.4415,9.1017
0053,1,流失预警型,0.9637,宏观群1,0,5.3076,3.9976
0054,5,生鲜高频型,0.4976,宏观群1,0,5.2901,4.0552
0055,2,高价值稳定型,0.9025,宏观群0,0,1.2137,8.6843
0056,2,高价值稳定型,0.9707,宏观群0,0,1.1249,8.3738
0057,2,高价值稳定型,0.9056,宏观群0,0,1.4392,7.9227
