范围,价格弹性,标准误,95%CI下,95%CI上,样本数,弹性类型
整体,-0.251,0.006,-0.262,-0.24,42720,缺乏弹性(可提价提毛利)
休闲,-0.282,0.011,-0.303,-0.26,8834,缺乏弹性(可提价提毛利)
冲调,0.009,0.008,-0.007,0.025,590,异常(正)
家居,-0.011,0.011,-0.033,0.011,589,缺乏弹性(可提价提毛利)
日配,-0.311,0.024,-0.359,-0.264,4771,缺乏弹性(可提价提毛利)
洗化,-0.04,0.01,-0.059,-0.02,3065,缺乏弹性(可提价提毛利)
熟食,-0.003,0.107,-0.212,0.206,887,缺乏弹性(可提价提毛利)
粮油,-0.227,0.017,-0.26,-0.195,5859,缺乏弹性(可提价提毛利)
肉禽,-0.202,0.112,-0.423,0.018,1241,缺乏弹性(可提价提毛利)
蔬果,-0.129,0.036,-0.199,-0.06,14159,缺乏弹性(可提价提毛利)
酒饮,-0.135,0.028,-0.189,-0.081,1895,缺乏弹性(可提价提毛利)
针织,-0.017,0.011,-0.04,0.005,302,缺乏弹性(可提价提毛利)
