模型,K,商品_Precision,商品_Recall,商品_HitRate,商品_NDCG,商品_Coverage,商品_Diversity,商品_PromoMatch,小类_Precision,小类_Recall,小类_HitRate,小类_NDCG
E1_全局热门,5,0.0681,0.0364,0.275,0.0858,0.0009,1.0,0.0,0.1358,0.0822,0.4458,0.1603
E1_全局热门,10,0.0703,0.0685,0.4292,0.0916,0.0018,0.9,0.0,0.1528,0.19,0.6708,0.235
E2_类目偏好,5,0.0472,0.0303,0.2042,0.0572,0.1389,0.3266,0.2614,0.0706,0.0507,0.3056,0.2352
E2_类目偏好,10,0.0378,0.0423,0.2833,0.0544,0.2533,0.2276,0.2239,0.0475,0.0635,0.3736,0.2879
E3_关联规则,5,0.0483,0.0255,0.1944,0.0545,0.0081,0.3869,0.0106,0.0917,0.0592,0.3611,0.2853
E3_关联规则,10,0.045,0.0428,0.3,0.0556,0.0096,0.3284,0.006,0.0778,0.102,0.5194,0.3417
E4_图嵌入,5,0.1047,0.0517,0.3542,0.1187,0.0277,0.9028,0.1839,0.2014,0.1261,0.5569,0.2501
E4_图嵌入,10,0.086,0.0802,0.4431,0.1127,0.0408,0.8119,0.1724,0.1607,0.1941,0.6736,0.2825
E5_复购周期,5,0.0689,0.0375,0.2583,0.0848,0.1142,0.6214,0.0709,0.1061,0.07,0.3889,0.2529
E5_复购周期,10,0.0539,0.057,0.3444,0.0787,0.1992,0.4939,0.0631,0.0796,0.1121,0.4903,0.3158
E6_CRITIC_TOPSIS,5,0.0936,0.0464,0.3292,0.106,0.0371,0.6403,0.1389,0.1719,0.1083,0.5472,0.3167
E6_CRITIC_TOPSIS,10,0.0763,0.0746,0.4361,0.1007,0.058,0.5201,0.1317,0.1249,0.1594,0.6403,0.3715
