user_id,cat_l3_code,购买次数,平均复购周期天,距今天数,复购紧迫度
0000,120104,1,,119,
0000,120109,1,,119,
0000,130801,1,,119,
0000,200601,1,,5,
0001,120101,1,,119,
0001,120103,1,,119,
0001,200709,1,,119,
0001,201401,1,,119,
0001,220205,1,,74,
0001,220502,1,,74,
0001,311801,1,,74,
0002,120101,1,,81,
0002,120102,2,38.0,81,2.132
0002,120104,1,,119,
0002,120105,1,,119,
0002,120106,2,11.0,81,7.364
0002,120303,2,27.0,92,3.407
0002,120306,1,,119,
0002,120309,1,,119,
0002,130801,1,,81,
0002,150501,1,,92,
0002,150502,1,,119,
0002,220205,1,,81,
0002,220208,1,,81,
0002,220502,1,,81,
0002,220513,1,,81,
0002,220709,1,,81,
0003,100101,2,81.0,32,0.395
0003,100103,1,,34,
0003,100502,1,,113,
0003,110302,1,,79,
0003,120101,1,,49,
0003,120102,2,12.0,32,2.667
0003,120104,1,,32,
0003,120106,5,16.0,13,0.812
0003,120107,3,12.5,19,1.52
0003,120201,1,,118,
0003,120301,1,,71,
0003,120302,1,,119,
0003,120303,1,,79,
0003,120306,1,,20,
0003,120309,1,,19,
0003,130801,3,32.0,13,0.406
0003,130803,2,13.0,6,0.462
0003,150305,1,,119,
0003,150501,1,,79,
0003,152101,1,,6,
0003,200201,2,32.0,13,0.406
0003,200601,1,,33,
0003,200705,2,14.0,65,4.643
0003,200706,3,4.0,71,17.75
0003,220205,1,,19,
0003,220208,1,,77,
0003,220511,1,,65,
0003,220513,1,,118,
0003,220605,1,,65,
0003,220607,2,31.0,34,1.097
0003,220799,1,,118,
0003,220999,1,,118,
0003,231601,1,,79,
0003,231602,1,,79,
0004,100104,1,,17,
0004,120101,1,,17,
0004,120102,1,,17,
0004,120104,2,102.0,17,0.167
0004,120105,1,,17,
0004,120106,1,,17,
0004,120309,1,,17,
0004,120313,1,,29,
0004,150502,1,,119,
0004,150904,1,,17,
0004,152101,2,102.0,17,0.167
0004,230703,1,,119,
0004,300202,1,,29,
0004,301306,1,,29,
0004,301609,1,,29,
0005,100101,1,,108,
0005,120101,1,,29,
0005,151701,2,79.0,29,0.367
0005,200199,1,,108,
0005,200501,1,,29,
0005,200603,1,,26,
0005,200902,1,,35,
0005,201302,1,,35,
0005,201405,1,,35,
0005,301301,1,,35,
0005,301802,1,,119,
0006,100104,1,,84,
0006,110107,1,,84,
0006,120101,2,55.0,29,0.527
0006,120104,3,59.0,1,0.017
0006,120107,1,,84,
0006,120204,1,,84,
0006,120205,1,,29,
0006,120305,1,,1,
0006,120313,1,,29,
0006,120501,1,,29,
0006,152104,1,,119,
0006,201104,2,83.0,1,0.012
0006,201107,1,,84,
0006,201111,1,,84,
0006,311908,1,,31,
0007,100101,1,,35,
0007,110302,1,,17,
0007,120101,3,59.0,1,0.017
0007,120102,1,,35,
0007,120104,1,,1,
0007,120107,1,,1,
0007,150504,1,,1,
0007,200101,1,,119,
0007,200102,1,,119,
0007,200201,1,,119,
0007,200605,1,,116,
0007,201401,1,,1,
