前项,后项,支持度,提升度,卡方,p值,Bonferroni阈值,是否显著
袋装薯片,其他膨化点心,0.0149,10.266,1043.58,6.04e-229,0.0011627906976744186,显著
其他膨化点心,袋装薯片,0.0149,10.266,1043.58,6.04e-229,0.0011627906976744186,显著
花果,根茎,0.1189,1.955,759.97,2.73e-167,0.0011627906976744186,显著
根茎,花果,0.1189,1.955,759.97,2.73e-167,0.0011627906976744186,显著
叶菜,根茎,0.0977,1.928,565.52,5.31e-125,0.0011627906976744186,显著
根茎,叶菜,0.0977,1.928,565.52,5.31e-125,0.0011627906976744186,显著
叶菜,花果,0.0941,1.804,441.45,5.25e-98,0.0011627906976744186,显著
花果,叶菜,0.0941,1.804,441.45,5.25e-98,0.0011627906976744186,显著
趣味/休闲,袋装薯片,0.0103,5.595,325.31,1.01e-72,0.0011627906976744186,显著
菌菇类,叶菜,0.0412,2.234,301.56,1.50e-67,0.0011627906976744186,显著
菌菇类,花果,0.0462,2.089,297.27,1.29e-66,0.0011627906976744186,显著
鲜猪肉,根茎,0.0405,2.149,275.44,7.39e-62,0.0011627906976744186,显著
菌菇类,根茎,0.0439,2.042,262.01,6.25e-59,0.0011627906976744186,显著
鲜调味,根茎,0.0351,1.981,187.47,1.13e-42,0.0011627906976744186,显著
鲜调味,叶菜,0.0309,2.038,172.23,2.41e-39,0.0011627906976744186,显著
鲜猪肉,花果,0.0365,1.883,168.63,1.47e-38,0.0011627906976744186,显著
鲜调味,花果,0.034,1.868,152.57,4.76e-35,0.0011627906976744186,显著
豆腐,叶菜,0.0258,2.004,134.75,3.75e-31,0.0011627906976744186,显著
鲜调味,鲜猪肉,0.0148,2.619,132.69,1.06e-30,0.0011627906976744186,显著
豆腐,菌菇类,0.0143,2.608,126.82,2.03e-29,0.0011627906976744186,显著
豆干豆皮,叶菜,0.0152,2.254,105.87,7.86e-25,0.0011627906976744186,显著
鲜猪肉,叶菜,0.0279,1.726,89.68,2.81e-21,0.0011627906976744186,显著
豆腐,花果,0.0256,1.654,72.19,1.96e-17,0.0011627906976744186,显著
豆腐,根茎,0.0247,1.642,66.97,2.76e-16,0.0011627906976744186,显著
豆干豆皮,根茎,0.0148,1.885,64.0,1.25e-15,0.0011627906976744186,显著
芽菜,叶菜,0.0135,1.879,55.32,1.03e-13,0.0011627906976744186,显著
豆干豆皮,花果,0.0145,1.8,54.23,1.78e-13,0.0011627906976744186,显著
芽菜,根茎,0.0149,1.781,53.24,2.95e-13,0.0011627906976744186,显著
芽菜,花果,0.0146,1.7,44.46,2.59e-11,0.0011627906976744186,显著
新鲜蛋品,花果,0.0383,1.369,44.0,3.29e-11,0.0011627906976744186,显著
现制蒸类,叶菜,0.0141,1.653,36.57,1.47e-09,0.0011627906976744186,显著
新鲜蛋品,根茎,0.0351,1.291,26.17,3.12e-07,0.0011627906976744186,显著
新鲜蛋品,叶菜,0.0303,1.301,22.91,1.70e-06,0.0011627906976744186,显著
现制蒸类,花果,0.0141,1.378,15.37,8.84e-05,0.0011627906976744186,显著
其它水果,根茎,0.0266,1.25,14.67,1.28e-04,0.0011627906976744186,显著
现制蒸类,根茎,0.0132,1.328,11.06,8.82e-04,0.0011627906976744186,显著
梨类,根茎,0.014,1.307,10.46,1.22e-03,0.0011627906976744186,不显著
其它水果,花果,0.0263,1.203,10.0,1.57e-03,0.0011627906976744186,不显著
其它水果,叶菜,0.0214,1.176,5.84,1.57e-02,0.0011627906976744186,不显著
进口水果,根茎,0.0136,1.218,5.43,1.98e-02,0.0011627906976744186,不显著
梨类,花果,0.0128,1.165,3.05,8.08e-02,0.0011627906976744186,不显著
梨类,叶菜,0.0108,1.174,2.65,1.04e-01,0.0011627906976744186,不显著
柑桔柚类,根茎,0.0123,1.151,2.43,1.19e-01,0.0011627906976744186,不显著
